country;country_code;capital;accession_date;population;euro_zone_member;immigration;emigration;contribution_to_eu_budget_millions_euro;expenditure_eu_budget_millions_euro
Austria;AT;Vienna;1995-01-01;8901064;TRUE;109167;68280;3147,58431;2022,82140
Belgium;BE;Brussels;1957-03-25;11522440;TRUE;150006;102936;3861,85136;8776,94290
Bulgaria;BG;Sofia;2007-01-01;6951482;FALSE;37929;39941;488,28963;2204,76239
Cyprus;CY;Nicosia;2004-05-01;888005;TRUE;26170;17373;184,06386;266,36914
Czechia;CZ;Prague;2004-05-01;10693939;FALSE;105888;77798;1712,08821;5275,53828
Germany;DE;Berlin;1957-03-25;83166711;TRUE;886341;576319;25819,96730;12214,16123
Denmark;DK;Copenhaguen;1973-01-01;5822763;FALSE;61384;66520;2405,63503;1500,26135
Estonia;EE;Tallinn;2004-05-01;1328976;TRUE;18259;12801;229,20519;1169,21184
Greece;EL;Athens;1981-01-01;10718565;TRUE;129459;95020;1516,60105;5257,70783
Spain;ES;Madrid;1986-01-01;47332614;TRUE;750480;296248;10221,12749;11266,81341
Finland;FI;Helsinki;1995-01-01;5525292;TRUE;32758;17263;2016,39604;1541,97557
France;FR;Paris;1957-03-25;67320216;TRUE;385591;299101;21008,77267;15085,63350
United Kingdom;GB;London;1973-01-01;67025542;FALSE;680906;368385;14054,46706;7635,77080
Croatia;HR;Zagreb;2013-07-01;4058165;FALSE;37726;40148;448,64161;2073,67501
Hungary;HU;Budapest;2004-05-01;9769526;FALSE;88581;49795;1089,57517;6202,46884
Ireland;IE;Dublin;1973-01-01;4964440;TRUE;85630;62004;1995,58910;2070,83618
Italy;IT;Rome;1957-03-25;59641488;TRUE;332778;179505;14956,03712;11386,15684
Lithuania;LT;Vilnius;2004-05-01;2794090;TRUE;40067;29273;369,26356;1549,73840
Luxembourg;LU;Luxembourg City;1957-03-25;626108;TRUE;26668;15593;364,79390;2061,09859
Latvia;LV;Riga;2004-05-01;1907675;TRUE;11223;14583;246,46871;1374,52826
Malta;MT;Valletta;2004-05-01;514564;TRUE;28341;7998;107,26415;260,04661
Netherlands;NL;Amsterdam;1957-03-25;17407585;TRUE;215756;107906;5325,98800;2557,07893
Poland;PL;Warsaw;2004-05-01;37958138;FALSE;226649;180594;4214,02283;16365,51676
Portugal;PT;Lisbon;1986-01-01;10295909;TRUE;72725;28219;1718,94602;4366,53206
Romania;RO;Bucharest;2007-01-01;19328838;FALSE;202422;233736;1702,52324;5133,18811
Sweden;SE;Stockholm;1995-01-01;10327589;FALSE;115805;47718;3042,24425;1705,23041
Slovenia;SI;Ljubljana;2004-05-01;2095861;TRUE;31319;15106;405,28640;936,15384
Slovakia;SK;Bratislava;2004-05-01;5457873;TRUE;7016;3384;750,22609;2304,39488
